CustomerKey,GeographyKey,CustomerLabel,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CustomerType,CompanyName
235,652,11234,NULL,Anna,NULL,Griffin,0,1952-11-19,S,NULL,F,anna46@adventure-works.com,70000.00,4,2,Partial College,Professional,1,2,7221 Peachwillow Street,NULL,965-555-0146,2003-08-12,Person,NULL
236,577,11235,NULL,Angel,J,Stewart,0,1952-02-08,M,NULL,M,angel24@adventure-works.com,70000.00,4,2,Partial College,Professional,1,2,2585 La Salle Ct.,NULL,540-555-0122,2004-01-05,Person,NULL
237,583,11236,NULL,Jeremy,NULL,Butler,0,1952-03-05,S,NULL,M,jeremy29@adventure-works.com,70000.00,5,2,Partial College,Professional,1,2,8811 The Trees Dr.,NULL,980-555-0117,2004-04-05,Person,NULL
238,696,11237,NULL,Clarence,M,Anand,0,1958-09-23,S,NULL,M,clarence36@adventure-works.com,130000.00,2,3,Bachelors,Management,0,4,Welt Platz 6,NULL,1 (11) 500 555-0191,2002-03-08,Person,NULL
239,588,11238,NULL,Mayra,NULL,Prasad,0,1958-08-10,S,NULL,F,mayra9@adventure-works.com,130000.00,2,3,Bachelors,Management,0,4,1119 Elderwood Dr.,#3,1 (11) 500 555-0116,2001-07-09,Person,NULL
240,506,11239,NULL,Latoya,C,Goel,0,1958-10-06,M,NULL,F,latoya18@adventure-works.com,130000.00,2,4,Partial College,Professional,0,2,8154 Pheasant Circle,NULL,1 (11) 500 555-0149,2001-07-22,Person,NULL
241,704,11240,NULL,Anne,B,Hernandez,0,1958-12-11,M,NULL,F,anne4@adventure-works.com,160000.00,2,3,Partial College,Professional,1,4,76 Woodcrest Dr.,NULL,1 (11) 500 555-0119,2001-08-30,Person,NULL
242,503,11241,NULL,Lisa,NULL,Cai,0,1957-10-11,S,NULL,F,lisa24@adventure-works.com,100000.00,2,3,Partial College,Professional,1,4,"102, rue de Berri",NULL,1 (11) 500 555-0125,2003-03-14,Person,NULL
243,564,11242,NULL,Larry,NULL,Munoz,0,1957-11-11,M,NULL,M,larry9@adventure-works.com,110000.00,2,4,Partial College,Professional,1,3,Midi-Couleurs,NULL,1 (11) 500 555-0193,2003-03-23,Person,NULL
244,481,11243,NULL,Robin,V,Alvarez,0,1957-10-09,M,NULL,F,robin2@adventure-works.com,150000.00,2,3,Partial College,Professional,1,3,4086 Emmons Canyon Lane,NULL,1 (11) 500 555-0198,2001-08-24,Person,NULL
245,541,11244,NULL,Alexis,M,Coleman,0,1957-11-26,S,NULL,F,alexis28@adventure-works.com,170000.00,2,3,Bachelors,Management,0,3,7140 Camelback Road,NULL,1 (11) 500 555-0115,2001-08-15,Person,NULL
246,662,11245,NULL,Ricky,D,Vazquez,0,1956-10-27,M,NULL,M,ricky15@adventure-works.com,120000.00,3,4,High School,Professional,0,4,Roßstr 9928,NULL,1 (11) 500 555-0147,2002-03-29,Person,NULL
247,662,11246,NULL,Latasha,NULL,Rubio,0,1956-10-09,M,NULL,F,latasha21@adventure-works.com,120000.00,3,4,High School,Professional,0,4,Alderstr 7690,NULL,1 (11) 500 555-0178,2002-04-05,Person,NULL
248,498,11247,NULL,Claudia,M,Zhou,0,1956-06-06,S,NULL,F,claudia7@adventure-works.com,130000.00,3,4,Partial College,Professional,0,3,6516 Beauer Lane,NULL,1 (11) 500 555-0116,2001-08-21,Person,NULL
249,545,11248,NULL,Tristan,P,Alexander,0,1955-03-26,M,NULL,M,tristan19@adventure-works.com,110000.00,3,4,Partial College,Professional,1,4,"88, avenue des Champs-Elysées",NULL,1 (11) 500 555-0124,2004-01-15,Person,NULL
250,556,11249,NULL,Cindy,A,Patel,0,1955-07-13,M,NULL,F,cindy3@adventure-works.com,130000.00,3,4,Partial College,Professional,1,3,Essener Straße 123,NULL,1 (11) 500 555-0149,2002-04-11,Person,NULL
251,574,11250,NULL,Shannon,D,Liu,0,1955-03-12,M,NULL,F,shannon4@adventure-works.com,170000.00,3,4,High School,Professional,1,2,4185 Keywood Ct.,NULL,1 (11) 500 555-0119,2001-09-17,Person,NULL
252,490,11251,NULL,Xavier,NULL,Long,0,1932-07-04,S,NULL,M,xavier51@adventure-works.com,30000.00,4,0,High School,Professional,0,2,9245 Dantley Way,NULL,243-555-0114,2004-04-20,Person,NULL
253,502,11252,NULL,Nicholas,D,Thompson,0,1932-06-07,S,NULL,M,nicholas16@adventure-works.com,90000.00,3,0,Graduate Degree,Management,1,1,504 O St.,NULL,377-555-0147,2002-02-14,Person,NULL
254,701,11253,NULL,José,M,Hernandez,0,1933-02-28,M,NULL,M,josé54@adventure-works.com,60000.00,2,0,Graduate Degree,Management,1,2,5703 Donald Dr.,NULL,712-555-0130,2003-09-02,Person,NULL
255,597,11254,NULL,Johnathan,W,Vance,0,1933-03-03,M,NULL,M,johnathan5@adventure-works.com,70000.00,4,0,Graduate Degree,Management,1,2,9430 Versailles Pl,NULL,494-555-0166,2004-05-26,Person,NULL
256,597,11255,NULL,Colin,NULL,Lin,0,1933-04-04,M,NULL,M,colin8@adventure-works.com,70000.00,4,0,Graduate Degree,Management,1,2,6083 San Jose,NULL,599-555-0132,2003-08-27,Person,NULL
257,507,11256,NULL,Katelyn,L,Hernandez,0,1933-09-20,M,NULL,F,katelyn42@adventure-works.com,70000.00,4,0,Graduate Degree,Management,1,2,7496 Deerfield Dr.,NULL,249-555-0116,2003-10-17,Person,NULL
258,667,11257,NULL,Jacqueline,NULL,Powell,0,1933-01-06,S,NULL,F,jacqueline9@adventure-works.com,120000.00,1,2,Graduate Degree,Management,1,4,4076 Northwood Dr,NULL,796-555-0111,2002-02-24,Person,NULL
259,527,11258,NULL,Xavier,NULL,Hill,0,1933-06-28,M,NULL,M,xavier26@adventure-works.com,120000.00,1,2,Graduate Degree,Management,1,4,2707 Virgil Street,NULL,559-555-0149,2003-11-22,Person,NULL
260,686,11259,NULL,Victoria,C,Stewart,0,1965-03-27,M,NULL,F,victoria24@adventure-works.com,100000.00,4,1,Partial College,Professional,1,4,3623 Barquentine Court,NULL,230-555-0139,2002-03-07,Person,NULL
261,445,11260,NULL,Katelyn,L,Kelly,0,1965-04-12,M,NULL,F,katelyn1@adventure-works.com,110000.00,2,2,Bachelors,Management,1,3,7085 Solano Drive,NULL,507-555-0132,2003-08-09,Person,NULL
262,688,11261,NULL,Stephanie,NULL,Collins,0,1965-04-24,M,NULL,F,stephanie52@adventure-works.com,130000.00,1,2,Graduate Degree,Management,1,1,2868 Central Avenue,NULL,209-555-0173,2002-03-30,Person,NULL
263,675,11262,NULL,Jennifer,NULL,Simmons,0,1964-05-04,M,NULL,F,jennifer88@adventure-works.com,80000.00,4,3,Bachelors,Management,1,0,7959 Mt. Wilson Way,NULL,148-555-0115,2003-08-31,Person,NULL
264,597,11263,NULL,Trinity,NULL,Richardson,0,1964-09-11,M,NULL,F,trinity9@adventure-works.com,90000.00,5,5,Partial College,Professional,1,3,3063 Blue Jay Drive,NULL,111-555-0116,2002-03-01,Person,NULL
265,495,11264,NULL,Eduardo,NULL,Martin,0,1964-06-17,S,NULL,M,eduardo13@adventure-works.com,90000.00,5,5,Partial College,Professional,0,3,5137 Pheasant Court,NULL,342-555-0195,2003-07-06,Person,NULL
266,642,11265,NULL,Elizabeth,P,Jones,0,1964-07-13,M,NULL,F,elizabeth7@adventure-works.com,90000.00,5,5,Partial College,Professional,1,3,2253 Firestone Dr.,NULL,941-555-0110,2003-07-07,Person,NULL
267,535,11266,NULL,Taylor,NULL,Howard,0,1964-05-05,S,NULL,F,taylor14@adventure-works.com,90000.00,0,0,Partial College,Professional,0,1,7396 Stratton Circle,NULL,162-555-0131,2002-03-13,Person,NULL
268,445,11267,NULL,David,NULL,Diaz,0,1964-10-02,S,NULL,M,david55@adventure-works.com,120000.00,4,2,Partial College,Professional,1,4,2075 Browse Ct,NULL,613-555-0119,2002-03-20,Person,NULL
269,619,11268,NULL,Katelyn,A,Carter,0,1964-05-03,M,NULL,F,katelyn33@adventure-works.com,130000.00,2,2,Graduate Degree,Management,1,2,3050 Monte Cresta Avenue,NULL,103-555-0195,2003-11-30,Person,NULL
270,472,11269,NULL,Ryan,W,Foster,0,1964-10-13,M,NULL,M,ryan19@adventure-works.com,130000.00,2,2,Graduate Degree,Management,1,2,5376 Sahara Drive,NULL,961-555-0133,2004-02-23,Person,NULL
271,645,11270,NULL,Robert,L,Lee,0,1964-05-04,M,NULL,M,robert82@adventure-works.com,130000.00,2,2,Graduate Degree,Management,1,3,5461 Camino Verde Ct.,NULL,447-555-0174,2002-03-13,Person,NULL
272,689,11271,NULL,Danielle,C,Reed,0,1964-06-05,S,NULL,F,danielle23@adventure-works.com,150000.00,2,0,Bachelors,Management,0,4,6683 Carrick Ct,NULL,136-555-0114,2002-03-30,Person,NULL
273,430,11272,NULL,Lauren,L,Martinez,0,1956-11-10,S,NULL,F,lauren35@adventure-works.com,70000.00,4,3,Partial College,Professional,1,0,4357 Tosca Way,NULL,977-555-0117,2002-03-22,Person,NULL
274,643,11273,NULL,Nathan,E,Lal,0,1956-10-01,M,NULL,M,nathan26@adventure-works.com,90000.00,2,1,Partial College,Professional,1,0,7064 Cypress Ave,NULL,147-555-0121,2003-11-15,Person,NULL
275,583,11274,NULL,Kyle,M,Foster,0,1934-04-12,M,NULL,M,kyle11@adventure-works.com,50000.00,2,0,Graduate Degree,Management,1,2,5617 Landing Dr,NULL,846-555-0126,2002-03-01,Person,NULL
276,469,11275,NULL,Jenny,D,Rai,0,1934-01-18,M,NULL,F,jenny40@adventure-works.com,80000.00,4,0,Graduate Degree,Management,1,2,1440 Willow Pass Dr.,NULL,780-555-0119,2002-03-02,Person,NULL
277,467,11276,NULL,Nancy,E,Chapman,0,1963-09-19,M,NULL,F,nancy7@adventure-works.com,80000.00,4,3,Partial College,Professional,1,2,1480 Shoenic,NULL,909-555-0129,2003-08-02,Person,NULL
278,682,11277,NULL,Charles,P,Jackson,0,1963-06-10,M,NULL,M,charles15@adventure-works.com,80000.00,4,3,Partial College,Professional,1,2,3400 Folson Drive,NULL,194-555-0175,2003-08-06,Person,NULL
279,479,11278,NULL,Jonathan,NULL,Phillips,0,1963-08-20,S,NULL,M,jonathan35@adventure-works.com,90000.00,0,0,Partial College,Professional,0,1,8772 Rock Creek Way,NULL,967-555-0176,2002-03-19,Person,NULL
280,627,11279,NULL,Amanda,S,Cook,0,1963-09-12,M,NULL,F,amanda3@adventure-works.com,90000.00,0,0,Partial College,Professional,1,1,9187 Vista Del Sol,NULL,252-555-0177,2003-09-04,Person,NULL
281,507,11280,NULL,Robert,NULL,Collins,0,1963-08-21,M,NULL,M,robert45@adventure-works.com,90000.00,0,0,Partial College,Professional,1,1,5271 Sierra Road,NULL,966-555-0171,2004-01-02,Person,NULL
282,443,11281,NULL,Megan,J,Barnes,0,1963-10-10,S,NULL,F,megan53@adventure-works.com,110000.00,4,2,Bachelors,Management,1,4,40 Ellis St.,NULL,807-555-0156,2002-03-16,Person,NULL
283,597,11282,NULL,Christian,A,Thomas,0,1962-01-16,M,NULL,M,christian46@adventure-works.com,90000.00,5,4,Partial College,Professional,1,4,5205 Coralie Drive,NULL,692-555-0172,2002-03-03,Person,NULL
284,584,11283,NULL,Arturo,NULL,Lal,0,1962-10-26,M,NULL,M,arturo33@adventure-works.com,110000.00,1,3,Bachelors,Management,1,2,4593 Mendouno Dr.,NULL,638-555-0164,2003-11-30,Person,NULL
285,610,11284,NULL,Theresa,NULL,Serrano,0,1962-03-27,M,NULL,F,theresa12@adventure-works.com,110000.00,1,3,Bachelors,Management,1,2,9007 S Royal Links Circle,NULL,777-555-0162,2003-08-10,Person,NULL
286,631,11285,NULL,Jeremy,J,Anderson,0,1962-03-19,M,NULL,M,jeremy2@adventure-works.com,120000.00,1,3,Partial College,Professional,0,4,7655 Greer Ave,NULL,940-555-0176,2004-01-28,Person,NULL
287,560,11286,NULL,Hunter,D,Griffin,0,1962-03-03,M,NULL,M,hunter16@adventure-works.com,170000.00,0,0,Graduate Degree,Management,1,4,4079 Redbird Lane,NULL,410-555-0148,2002-03-24,Person,NULL
288,467,11287,NULL,Henry,B,Garcia,0,1961-01-16,M,NULL,M,henry16@adventure-works.com,70000.00,5,4,Partial College,Professional,0,3,3268 Hazelwood Lane,NULL,282-555-0185,2003-08-02,Person,NULL
289,443,11288,NULL,Cindy,K,Sanchez,0,1961-09-16,M,NULL,F,cindy19@adventure-works.com,110000.00,1,3,Bachelors,Management,1,3,7062 Starflower Drive,NULL,198-555-0118,2003-09-06,Person,NULL
290,475,11289,NULL,Maria,S,Carter,0,1961-03-07,M,NULL,F,maria53@adventure-works.com,130000.00,1,3,Bachelors,Management,1,1,8603 Elmhurst Lane,NULL,239-555-0158,2002-03-11,Person,NULL
291,645,11290,NULL,Katelyn,NULL,Sanchez,0,1961-08-18,M,NULL,F,katelyn26@adventure-works.com,130000.00,1,3,Bachelors,Management,1,3,8869 Climbing Vine Court,NULL,395-555-0150,2002-03-23,Person,NULL
292,502,11291,NULL,Jenna,NULL,Wright,0,1961-05-05,M,NULL,F,jenna19@adventure-works.com,130000.00,1,3,Bachelors,Management,1,3,232 Pinnacle Drive,NULL,118-555-0191,2002-03-07,Person,NULL
293,690,11292,NULL,Seth,NULL,Phillips,0,1961-11-05,S,NULL,M,seth42@adventure-works.com,150000.00,1,2,Partial College,Professional,0,3,4361 Loftus Road,NULL,980-555-0196,2002-03-18,Person,NULL
294,535,11293,NULL,Luke,S,Long,0,1955-05-27,S,NULL,M,luke28@adventure-works.com,60000.00,2,0,High School,Professional,0,2,3177 Dover Way,NULL,786-555-0117,2003-08-28,Person,NULL
295,495,11294,NULL,Dalton,P,Clark,0,1955-09-03,M,NULL,M,dalton18@adventure-works.com,60000.00,2,0,High School,Professional,0,2,4381 Amazonas,NULL,388-555-0195,2004-03-28,Person,NULL
296,470,11295,NULL,Taylor,G,Lewis,0,1954-05-16,S,NULL,F,taylor67@adventure-works.com,80000.00,2,0,Partial High School,Skilled Manual,1,2,8827 Ward Court,NULL,291-555-0174,2002-03-28,Person,NULL
297,627,11296,NULL,Haley,NULL,Richardson,0,1935-10-07,S,NULL,F,haley10@adventure-works.com,50000.00,2,0,Graduate Degree,Management,1,2,6203 Laurel Drive,NULL,620-555-0129,2002-03-04,Person,NULL
298,443,11297,NULL,Noah,NULL,Coleman,0,1935-02-02,S,NULL,M,noah2@adventure-works.com,70000.00,4,0,Graduate Degree,Management,1,2,5562 Galindo Street,NULL,847-555-0167,2002-03-29,Person,NULL
299,610,11298,NULL,Jon,NULL,Luo,0,1935-03-03,M,NULL,M,jon46@adventure-works.com,70000.00,4,0,Graduate Degree,Management,1,2,3560 River Rock Lane,NULL,127-555-0189,2002-03-15,Person,NULL
300,443,11299,NULL,Orlando,E,Vazquez,0,1936-04-01,M,NULL,M,orlando14@adventure-works.com,70000.00,4,0,Graduate Degree,Management,1,2,8547 Catherine Way,NULL,757-555-0143,2002-03-29,Person,NULL
301,665,11300,NULL,Fernando,NULL,Barnes,0,1960-03-03,M,NULL,M,fernando47@adventure-works.com,80000.00,5,4,Partial College,Professional,0,3,7633 Greenhills Circle,NULL,469-555-0125,2003-08-04,Person,NULL
302,577,11301,NULL,Cameron,L,Rodriguez,0,1960-06-09,M,NULL,M,cameron38@adventure-works.com,80000.00,5,4,Partial College,Professional,1,4,1217 Mariposa,NULL,727-555-0119,2003-12-11,Person,NULL
303,620,11302,NULL,Spencer,NULL,Russell,0,1960-12-12,S,NULL,M,spencer22@adventure-works.com,90000.00,4,3,High School,Professional,0,3,2396 Mink Court,NULL,834-555-0131,2002-03-09,Person,NULL
304,479,11303,NULL,Julia,NULL,Coleman,0,1960-10-11,S,NULL,F,julia72@adventure-works.com,90000.00,4,3,High School,Professional,0,3,3128 Ramsey Circle,NULL,907-555-0170,2002-03-05,Person,NULL
305,536,11304,NULL,Julia,B,Garcia,0,1960-03-17,M,NULL,F,julia38@adventure-works.com,100000.00,0,3,Partial College,Professional,1,0,6179 Mt. Hamilton Dr.,NULL,923-555-0183,2003-09-21,Person,NULL
306,610,11305,NULL,Sean,A,Evans,0,1960-06-19,M,NULL,M,sean31@adventure-works.com,110000.00,3,3,Partial College,Professional,0,4,7118 Elliott Dr.,NULL,791-555-0174,2003-09-26,Person,NULL
307,619,11306,NULL,Micah,A,Zhou,0,1960-06-22,M,NULL,M,micah19@adventure-works.com,110000.00,3,3,Partial College,Professional,0,4,6105 Brownstone Rd,NULL,497-555-0185,2004-01-01,Person,NULL
308,472,11307,NULL,Hunter,P,Rodriguez,0,1954-11-04,M,NULL,M,hunter53@adventure-works.com,80000.00,2,0,Partial High School,Skilled Manual,1,2,4343 Cook Street,NULL,996-555-0142,2002-03-07,Person,NULL
309,523,11308,NULL,Ian,T,Gonzales,0,1954-03-05,M,NULL,M,ian57@adventure-works.com,60000.00,2,0,High School,Professional,0,2,7122 Athene Dr.,NULL,904-555-0153,2004-03-10,Person,NULL
310,580,11309,NULL,Victoria,NULL,Lewis,0,1954-06-12,S,NULL,F,victoria20@adventure-works.com,60000.00,2,0,High School,Professional,1,2,4426 Tanager Road,NULL,586-555-0191,2004-01-10,Person,NULL
311,689,11310,NULL,Erin,A,Sanders,0,1953-07-09,S,NULL,F,erin7@adventure-works.com,70000.00,3,0,Graduate Degree,Management,1,2,7541 Black Point Pl,NULL,233-555-0160,2004-02-13,Person,NULL
312,507,11311,NULL,Gabrielle,D,Lopez,0,1953-08-24,S,NULL,F,gabrielle63@adventure-works.com,70000.00,3,0,Graduate Degree,Management,0,2,8619 Parkside Dr.,NULL,783-555-0174,2003-10-20,Person,NULL
313,507,11312,NULL,Sara,NULL,Richardson,0,1953-04-03,S,NULL,F,sara10@adventure-works.com,70000.00,3,0,Graduate Degree,Management,1,2,7375 Kipling Court,NULL,296-555-0174,2003-11-18,Person,NULL
314,535,11313,NULL,Trevor,NULL,Jenkins,0,1953-02-27,S,NULL,M,trevor6@adventure-works.com,70000.00,3,0,Graduate Degree,Management,1,2,4697 Yosemite Dr.,NULL,120-555-0129,2003-11-08,Person,NULL
315,495,11314,NULL,Mya,NULL,Flores,0,1953-12-21,S,NULL,F,mya13@adventure-works.com,70000.00,3,0,Graduate Degree,Management,0,2,8439 Rio Grande Drive,Unit A,522-555-0140,2003-08-29,Person,NULL
316,535,11315,NULL,Hailey,J,Ward,0,1953-10-01,S,NULL,F,hailey12@adventure-works.com,70000.00,3,0,Graduate Degree,Management,0,2,6321 Maya,NULL,767-555-0151,2003-11-21,Person,NULL
317,647,11316,NULL,Luke,NULL,Allen,0,1953-11-17,M,NULL,M,luke52@adventure-works.com,60000.00,3,0,Graduate Degree,Management,1,2,419 Deermeadow Way,NULL,786-555-0133,2003-07-16,Person,NULL
318,686,11317,NULL,Victoria,D,Russell,0,1952-09-17,S,NULL,F,victoria66@adventure-works.com,40000.00,3,0,Partial College,Professional,0,2,9268 Keller Ridge,NULL,663-555-0197,2002-03-04,Person,NULL
319,479,11318,NULL,Jessica,NULL,Wilson,0,1952-10-26,S,NULL,F,jessica54@adventure-works.com,40000.00,3,0,Partial College,Professional,0,2,1652 Willcrest Circle,NULL,702-555-0180,2004-04-19,Person,NULL
320,520,11319,NULL,Jade,E,Bailey,0,1937-04-27,M,NULL,F,jade13@adventure-works.com,70000.00,4,0,Graduate Degree,Management,0,2,8119 Northridge Ct,# 1,819-555-0160,2002-03-12,Person,NULL
321,633,11320,NULL,Morgan,M,Hill,0,1937-06-26,M,NULL,F,morgan19@adventure-works.com,80000.00,4,0,Graduate Degree,Management,1,2,6951 Harmony Way,NULL,510-555-0120,2003-12-17,Person,NULL
322,597,11321,NULL,Terrance,D,Raman,0,1938-07-08,M,NULL,M,terrance9@adventure-works.com,90000.00,5,0,Bachelors,Management,1,2,2297 Via Valencia,NULL,879-555-0124,2003-08-27,Person,NULL
323,442,11322,NULL,Sydney,NULL,Garcia,0,1938-03-15,M,NULL,F,sydney78@adventure-works.com,90000.00,5,0,Bachelors,Management,1,2,252 Hemlock Drive,NULL,783-555-0116,2003-09-25,Person,NULL
324,472,11323,NULL,Jose,NULL,Patterson,0,1938-06-20,S,NULL,M,jose33@adventure-works.com,120000.00,2,4,Graduate Degree,Management,1,3,648 Newport Drive,NULL,768-555-0153,2002-03-13,Person,NULL
325,633,11324,NULL,Zachary,NULL,Anderson,0,1939-05-14,M,NULL,M,zachary39@adventure-works.com,90000.00,5,0,Bachelors,Management,1,2,2476 Mt. Whitney Way,NULL,693-555-0118,2002-03-29,Person,NULL
326,693,11325,NULL,Elijah,E,Ross,0,1939-07-02,S,NULL,M,elijah7@adventure-works.com,90000.00,5,0,Bachelors,Management,1,2,6679 Cornelius Dr,NULL,409-555-0142,2002-03-22,Person,NULL
327,430,11326,NULL,Rafael,M,Xie,0,1939-06-26,M,NULL,M,rafael26@adventure-works.com,130000.00,2,3,Bachelors,Management,1,4,369 Peabody Road,NULL,663-555-0137,2002-03-18,Person,NULL
328,443,11327,NULL,Jaime,C,Moreno,0,1940-03-04,M,NULL,M,jaime48@adventure-works.com,90000.00,5,0,Bachelors,Management,1,2,83 Mountain View Blvd,NULL,457-555-0178,2002-03-29,Person,NULL
329,668,11328,NULL,Julian,M,Griffin,0,1940-01-01,M,NULL,M,julian20@adventure-works.com,90000.00,5,0,Bachelors,Management,1,2,7398 Withersed Lane,NULL,636-555-0197,2003-07-09,Person,NULL
330,470,11329,NULL,Andy,NULL,Alvarez,0,1940-07-25,S,NULL,M,andy9@adventure-works.com,90000.00,5,0,Bachelors,Management,1,2,9466 Morning Glory Dr.,NULL,367-555-0172,2002-03-28,Person,NULL
331,671,11330,NULL,Ryan,M,Thompson,0,1940-05-13,M,NULL,M,ryan38@adventure-works.com,110000.00,2,4,Graduate Degree,Management,1,1,3407 Pinon Dr.,NULL,138-555-0142,2003-08-16,Person,NULL
332,695,11331,NULL,Samantha,NULL,Jenkins,0,1968-07-06,M,NULL,F,samantha32@adventure-works.com,90000.00,4,4,Partial College,Skilled Manual,1,2,1046 Cloverleaf Circle,NULL,936-555-0152,2003-08-11,Person,NULL
333,586,11332,NULL,Deanna,D,Ramos,0,1962-10-04,S,NULL,F,deanna44@adventure-works.com,10000.00,1,0,Graduate Degree,Manual,1,0,Roßstr 9938,NULL,1 (11) 500 555-0138,2002-04-17,Person,NULL
334,666,11333,NULL,Emily,R,Miller,0,1962-07-10,M,NULL,F,emily6@adventure-works.com,20000.00,1,0,Graduate Degree,Clerical,1,0,9075 Calle Verde,NULL,1 (11) 500 555-0110,2001-09-21,Person,NULL
335,698,11334,NULL,Nicole,NULL,Brown,0,1961-03-22,M,NULL,F,nicole4@adventure-works.com,10000.00,1,0,Bachelors,Manual,1,0,1135 W St.,NULL,1 (11) 500 555-0187,2001-09-04,Person,NULL
336,639,11335,NULL,Carla,L,Raman,0,1961-06-24,M,NULL,F,carla14@adventure-works.com,10000.00,1,0,Bachelors,Manual,1,0,Winterfeldtstr 255,NULL,1 (11) 500 555-0124,2002-04-25,Person,NULL
337,529,11336,NULL,Shaun,NULL,Raji,0,1962-03-12,M,NULL,M,shaun21@adventure-works.com,20000.00,1,0,Graduate Degree,Clerical,1,0,"44, rue du Départ",NULL,1 (11) 500 555-0122,2003-03-31,Person,NULL
338,704,11337,NULL,Jerome,NULL,Romero,0,1961-09-21,M,NULL,M,jerome7@adventure-works.com,10000.00,1,0,Bachelors,Manual,1,0,7289 Brookview Dr.,NULL,1 (11) 500 555-0112,2001-09-09,Person,NULL
339,590,11338,NULL,Frank,F,Navarro,0,1961-08-10,M,NULL,M,frank17@adventure-works.com,20000.00,1,0,Graduate Degree,Clerical,1,0,Buergermeister-ulrich-str 2987,NULL,1 (11) 500 555-0139,2002-04-13,Person,NULL
340,529,11339,NULL,Dennis,M,She,0,1961-07-08,S,NULL,M,dennis25@adventure-works.com,20000.00,1,0,Graduate Degree,Clerical,1,0,"828, rue de Berri",NULL,1 (11) 500 555-0141,2003-04-10,Person,NULL
341,529,11340,NULL,Melody,C,Munoz,0,1936-04-06,M,NULL,F,melody8@adventure-works.com,10000.00,1,0,Graduate Degree,Clerical,1,0,"9, avenue Reille",NULL,1 (11) 500 555-0147,2003-04-30,Person,NULL
342,608,11341,NULL,Randy,A,Zeng,0,1936-08-21,M,NULL,M,randy24@adventure-works.com,20000.00,1,0,Graduate Degree,Clerical,1,0,2334 Brandywine Way,NULL,1 (11) 500 555-0144,2001-10-12,Person,NULL
343,592,11342,NULL,Marshall,L,Wang,0,1962-03-11,M,NULL,M,marshall0@adventure-works.com,30000.00,5,0,Graduate Degree,Clerical,1,0,"68062, rue des Grands Champs",NULL,1 (11) 500 555-0161,2004-01-13,Person,NULL
344,673,11343,NULL,Arthur,P,Carlson,0,1958-09-13,M,NULL,M,arthur41@adventure-works.com,10000.00,1,0,Bachelors,Manual,1,0,6507 Fieldcrest Dr.,NULL,1 (11) 500 555-0166,2001-10-05,Person,NULL
345,525,11344,NULL,Jessie,NULL,Jimenez,0,1957-07-24,M,NULL,F,jessie3@adventure-works.com,10000.00,1,0,Partial College,Manual,1,0,5723 C Wharton Way,NULL,1 (11) 500 555-0193,2001-11-13,Person,NULL
346,700,11345,NULL,Robin,NULL,Ramos,0,1957-03-12,S,NULL,F,robin13@adventure-works.com,10000.00,1,0,Partial College,Manual,1,0,"6, rue de l´Esplanade",NULL,1 (11) 500 555-0111,2003-04-25,Person,NULL
347,529,11346,NULL,Deanna,E,Gutierrez,0,1955-05-22,S,NULL,F,deanna37@adventure-works.com,10000.00,2,0,Partial College,Manual,1,1,Attaché de Presse,Place d´ Armes,1 (11) 500 555-0112,2003-04-04,Person,NULL
348,595,11347,NULL,Roy,T,Navarro,0,1955-12-23,M,NULL,M,roy30@adventure-works.com,10000.00,2,0,Partial College,Manual,1,1,Viktoria-Luise-Platz 43,NULL,1 (11) 500 555-0137,2003-09-17,Person,NULL
349,674,11348,NULL,Shawn,NULL,Rai,0,1955-09-22,M,NULL,M,shawn19@adventure-works.com,10000.00,2,0,Partial College,Manual,1,1,Westheimer Straße 7606,NULL,1 (11) 500 555-0117,2003-10-02,Person,NULL
350,765,11349,NULL,Mindy,J,Luo,0,1954-09-03,M,NULL,F,mindy10@adventure-works.com,10000.00,2,0,Partial College,Manual,1,1,Brunnenstr 7566,Verkaufsabteilung,1 (11) 500 555-0194,2004-07-16,Person,NULL
351,532,11350,NULL,Cara,NULL,Zhou,0,1937-01-14,M,NULL,F,cara5@adventure-works.com,30000.00,1,0,Graduate Degree,Clerical,1,0,7280 Greendell Pl,NULL,1 (11) 500 555-0118,2003-08-09,Person,NULL
352,506,11351,NULL,Anne,R,Ramos,0,1939-04-06,S,NULL,F,anne19@adventure-works.com,20000.00,1,0,Bachelors,Clerical,1,0,7113 Eastgate Ave.,NULL,1 (11) 500 555-0148,2001-12-13,Person,NULL
353,528,11352,NULL,Raymond,A,Rodriguez,0,1940-03-07,M,NULL,M,raymond20@adventure-works.com,10000.00,2,0,Partial College,Manual,1,1,"24, impasse Ste-Madeleine",NULL,1 (11) 500 555-0131,2003-11-02,Person,NULL
354,567,11353,NULL,Carrie,L,Ortega,0,1941-06-11,S,NULL,F,carrie19@adventure-works.com,30000.00,1,0,Bachelors,Clerical,1,0,1883 Cowell Rd.,NULL,1 (11) 500 555-0111,2001-12-13,Person,NULL
355,635,11354,NULL,Deanna,NULL,Suarez,0,1942-02-23,M,NULL,F,deanna45@adventure-works.com,20000.00,1,0,Partial College,Manual,1,0,Dunckerstr 22525,NULL,1 (11) 500 555-0146,2004-06-05,Person,NULL
